General_trust,Attitude,Perceived_trust
1.0,2.5,2.0
1.0,2.5,3.0
1.0,5.0,1.0
1.0,5.0,4.0
6.0,4.5,3.5
6.0,3.0,3.0
6.0,4.0,2.0
6.0,3.0,3.5
8.333333333333334,3.5,2.5
8.333333333333334,4.0,2.5
8.333333333333334,4.0,3.5
8.333333333333334,4.0,4.0
6.333333333333333,5.0,4.0
6.333333333333333,5.0,3.0
6.333333333333333,5.0,1.5
6.333333333333333,4.0,3.5
3.0,4.5,4.0
3.0,4.0,4.0
3.0,3.0,4.0
3.0,1.0,4.0
7.333333333333333,4.5,3.0
7.333333333333333,4.5,3.0
7.333333333333333,5.0,2.0
7.333333333333333,4.0,3.0
5.333333333333333,4.0,3.5
5.333333333333333,4.0,2.5
5.333333333333333,4.0,3.0
5.333333333333333,2.5,3.0
3.3333333333333335,4.5,3.5
3.3333333333333335,4.5,4.0
3.3333333333333335,5.0,1.5
3.3333333333333335,5.0,3.5
3.3333333333333335,4.0,3.0
3.3333333333333335,4.0,2.5
3.3333333333333335,4.0,2.0
3.3333333333333335,4.0,3.0
4.333333333333333,4.5,3.0
4.333333333333333,5.0,3.0
4.333333333333333,4.0,2.0
4.333333333333333,4.0,3.0
7.333333333333333,4.5,4.0
7.333333333333333,3.5,2.5
7.333333333333333,4.5,3.5
7.333333333333333,4.0,4.0
3.3333333333333335,3.0,2.0
3.3333333333333335,4.0,2.0
3.3333333333333335,4.5,2.0
3.3333333333333335,3.5,3.0
5.333333333333333,5.0,3.0
5.333333333333333,3.5,3.0
5.333333333333333,5.0,3.0
5.333333333333333,4.0,3.0
8.333333333333334,5.0,4.5
8.333333333333334,5.0,2.5
8.333333333333334,5.0,2.5
8.333333333333334,3.0,4.0
6.666666666666667,4.0,4.0
6.666666666666667,2.5,2.5
6.666666666666667,4.5,5.0
6.666666666666667,4.0,4.5
3.0,3.5,1.0
3.0,5.0,2.0
3.0,3.0,3.0
3.0,3.5,3.0
8.333333333333334,2.0,4.0
8.333333333333334,3.5,4.0
8.333333333333334,3.5,3.5
8.333333333333334,2.0,2.0
3.0,4.5,3.0
3.0,5.0,4.0
3.0,5.0,3.0
3.0,5.0,4.5
5.666666666666667,4.5,4.0
5.666666666666667,4.0,3.0
5.666666666666667,5.0,3.0
5.666666666666667,4.0,4.0
8.0,4.0,4.0
8.0,3.0,3.0
8.0,4.0,3.5
8.0,4.0,4.0
6.0,2.0,1.0
6.0,5.0,3.0
6.0,4.5,3.5
6.0,5.0,4.0
4.0,4.0,3.0
4.0,3.0,2.5
4.0,4.0,2.0
4.0,2.0,3.0
1.3333333333333333,4.5,3.5
1.3333333333333333,3.5,3.0
1.3333333333333333,4.0,1.5
1.3333333333333333,2.0,3.5
3.0,4.0,4.0
3.0,5.0,4.0
3.0,5.0,2.0
3.0,4.0,3.5
7.333333333333333,1.5,4.0
7.333333333333333,3.0,3.5
7.333333333333333,4.0,4.0
7.333333333333333,4.0,4.0
2.6666666666666665,4.5,3.5
2.6666666666666665,4.5,2.5
2.6666666666666665,4.5,2.5
2.6666666666666665,4.5,4.0
3.3333333333333335,3.5,2.0
3.3333333333333335,4.5,2.5
3.3333333333333335,4.5,1.0
3.3333333333333335,4.5,3.5
3.0,4.0,4.0
3.0,5.0,2.0
3.0,3.0,1.5
3.0,1.0,4.0
3.6666666666666665,4.5,3.5
3.6666666666666665,2.0,2.0
3.6666666666666665,3.5,2.5
3.6666666666666665,4.0,3.5
7.333333333333333,4.0,3.5
7.333333333333333,4.0,2.0
7.333333333333333,4.0,1.0
7.333333333333333,4.0,4.0
5.666666666666667,3.5,3.5
5.666666666666667,4.5,3.0
5.666666666666667,3.0,2.0
5.666666666666667,3.5,3.5
1.0,3.5,2.0
1.0,3.0,2.0
1.0,3.5,3.5
1.0,3.5,4.0
8.333333333333334,4.5,3.5
8.333333333333334,4.0,2.5
8.333333333333334,4.0,2.5
8.333333333333334,3.5,3.5
4.333333333333333,4.0,3.5
4.333333333333333,4.0,2.5
4.333333333333333,4.0,1.5
4.333333333333333,4.0,4.0
3.3333333333333335,4.5,2.5
3.3333333333333335,5.0,3.5
3.3333333333333335,5.0,2.0
3.3333333333333335,3.5,3.0
2.6666666666666665,4.5,4.0
2.6666666666666665,5.0,2.5
2.6666666666666665,5.0,1.0
2.6666666666666665,1.5,3.5
7.333333333333333,5.0,3.5
7.333333333333333,4.5,2.5
7.333333333333333,4.5,2.0
7.333333333333333,2.5,3.0
6.0,2.0,1.0
6.0,4.0,3.0
6.0,5.0,1.0
6.0,2.0,1.0
5.0,2.0,1.5
5.0,3.5,3.0
5.0,3.5,3.5
5.0,2.0,3.0
5.333333333333333,3.0,2.5
5.333333333333333,4.0,2.5
5.333333333333333,5.0,1.0
5.333333333333333,4.0,4.0
3.0,3.5,3.5
3.0,2.5,2.5
3.0,3.5,1.5
3.0,3.5,3.0
2.3333333333333335,3.5,2.0
2.3333333333333335,4.0,2.5
2.3333333333333335,3.5,1.5
2.3333333333333335,3.0,3.0
5.0,3.5,3.5
5.0,4.0,3.0
5.0,3.5,2.5
5.0,1.5,3.5
5.666666666666667,4.5,3.5
5.666666666666667,3.0,2.5
5.666666666666667,3.5,1.0
5.666666666666667,2.5,3.0
3.6666666666666665,4.5,3.5
3.6666666666666665,4.0,3.0
3.6666666666666665,4.0,1.5
3.6666666666666665,4.0,3.0
10.0,4.0,4.0
10.0,4.0,2.5
10.0,5.0,1.5
10.0,2.0,4.0
6.333333333333333,4.5,4.0
6.333333333333333,2.5,2.5
6.333333333333333,3.5,2.5
6.333333333333333,2.0,3.5
3.0,2.0,1.5
3.0,3.5,3.0
3.0,4.5,1.5
3.0,4.5,3.5
6.666666666666667,4.0,5.0
6.666666666666667,4.0,4.0
6.666666666666667,3.0,3.0
6.666666666666667,4.0,4.0
4.0,5.0,3.5
4.0,3.5,2.5
4.0,4.5,2.0
4.0,3.0,2.5
6.0,2.0,1.5
6.0,5.0,2.5
6.0,4.5,2.0
6.0,2.5,3.0
6.333333333333333,4.5,3.5
6.333333333333333,4.0,2.5
6.333333333333333,5.0,1.5
6.333333333333333,4.0,4.0
3.3333333333333335,5.0,2.5
3.3333333333333335,5.0,2.0
3.3333333333333335,2.5,1.0
3.3333333333333335,4.0,3.0
3.0,2.5,1.5
3.0,4.0,1.5
3.0,4.0,3.5
3.0,1.0,3.0
4.333333333333333,3.5,3.5
4.333333333333333,3.0,2.0
4.333333333333333,4.0,3.0
4.333333333333333,3.5,4.0
5.333333333333333,5.0,2.0
5.333333333333333,5.0,4.0
5.333333333333333,5.0,1.5
5.333333333333333,5.0,4.0
6.0,2.5,2.5
6.0,2.0,2.0
6.0,1.5,2.0
6.0,2.0,2.0
2.6666666666666665,4.0,2.5
2.6666666666666665,2.5,3.0
2.6666666666666665,5.0,2.0
2.6666666666666665,2.5,3.0
6.0,4.5,4.0
6.0,4.5,2.5
6.0,5.0,2.5
6.0,3.5,3.5
4.666666666666667,1.0,2.0
4.666666666666667,1.5,2.0
4.666666666666667,3.5,3.0
4.666666666666667,1.0,2.0
5.666666666666667,3.5,1.5
5.666666666666667,4.5,2.5
5.666666666666667,4.0,2.5
5.666666666666667,4.0,3.0
4.333333333333333,2.5,1.0
4.333333333333333,3.5,3.5
4.333333333333333,4.0,4.0
4.333333333333333,3.0,3.5
6.0,4.5,3.5
6.0,4.0,2.5
6.0,4.0,2.0
6.0,4.0,4.0
3.3333333333333335,3.5,3.5
3.3333333333333335,4.0,2.5
3.3333333333333335,4.0,1.5
3.3333333333333335,3.5,4.0
10.0,5.0,5.0
10.0,5.0,3.0
10.0,5.0,3.0
10.0,5.0,5.0
4.666666666666667,3.5,4.0
4.666666666666667,2.5,2.0
4.666666666666667,4.5,2.5
4.666666666666667,3.0,3.5
8.0,5.0,4.0
8.0,3.5,3.0
8.0,4.5,1.5
8.0,3.5,3.5
6.666666666666667,4.5,2.5
6.666666666666667,5.0,1.5
6.666666666666667,5.0,1.5
6.666666666666667,3.0,2.5
5.0,4.0,2.5
5.0,3.0,2.5
5.0,4.0,2.0
5.0,3.0,3.5
2.0,2.0,1.0
2.0,2.0,3.5
2.0,5.0,5.0
2.0,2.0,1.5
6.0,5.0,3.0
6.0,3.5,2.5
6.0,3.5,2.0
6.0,2.0,3.5
6.0,5.0,1.0
6.0,5.0,1.0
6.0,5.0,1.0
6.0,5.0,1.0
8.0,5.0,4.0
8.0,5.0,3.0
8.0,5.0,2.5
8.0,5.0,4.5
2.3333333333333335,5.0,5.0
2.3333333333333335,4.5,1.5
2.3333333333333335,5.0,1.0
2.3333333333333335,5.0,4.0
4.666666666666667,1.0,1.0
4.666666666666667,5.0,4.0
4.666666666666667,5.0,4.0
4.666666666666667,2.0,3.5
7.333333333333333,5.0,3.0
7.333333333333333,5.0,2.5
7.333333333333333,5.0,1.5
7.333333333333333,5.0,4.0
2.6666666666666665,5.0,5.0
2.6666666666666665,2.0,3.5
2.6666666666666665,4.0,1.0
2.6666666666666665,5.0,5.0
3.0,5.0,4.0
3.0,4.5,3.5
3.0,5.0,2.0
3.0,1.5,4.0
4.666666666666667,2.5,2.0
4.666666666666667,4.5,3.5
4.666666666666667,2.5,4.0
4.666666666666667,1.5,3.0
4.666666666666667,3.0,1.0
4.666666666666667,2.0,1.0
4.666666666666667,3.5,1.0
4.666666666666667,1.5,1.0
4.0,4.5,3.5
4.0,2.5,2.5
4.0,3.5,1.0
